Title,View
"
      cant scroll using the up arrow key, each time i try, it automates to ""reply""[or is it edit?] on my last text in that group, i wiould like the option of using both up and down arrows to scroll through the chats/msgs
    ","I cant scroll using the 'up' arrow key, each time i try to scroll UP using arrow, it either doesn't AT ALL, or automates to ""reply""[or is it edit?] on my last text in that group, i would like the option…"
"
      When download big size of file, can't see the process that has download so far. in old version has progress that i saw what size has downloaded
    ","Skip this step Steps to reproduce When download big size of file, can't see the process that has download so far. in old version has progress that i saw what size has downloaded Device info Telegram Web…"
"
      MTProto proxies don't show real IP address
    ","When using MTProto proxies, my original IP is not shown and the proxy IP or another random IP is shown instead. I remember that a while ago MTProto proxies used to show the real IP behind the connection.…"
"
      Select Telegram in macOS share menu and nothing comes up.
    ","When clicking Telegram in share menu to share link (such as in Safari or NetNewsWire), nothing shows up. Cannot choose who to share. First see this problem in M1 MacBook Air with Big Sur, and now with…"
"
      Admins part of channels and groups without an admin are automatically promoted to owner if the (previous) owner account is deleted
    ","Telegram is automatically promoting admins in channels and groups that have had a deleted account as the owner for a while, as the new owner. I'm not sure if this is intended or not, if it is, please…"
"
      Inaccurate search process
    ",Why are mp3 files not included in the search results? Steps to reproduce 1. Enter the chat containing the mp3 file. 2. Tap the menu icon (vertical '...') 3. Tap the search icon. 4. Write the name of the…
"
      text format in quote
    ",The quote does not display the formatting (such as strikethrough text) of the original message. Steps to reproduce 1. Write a message using text formatting. 2. Quote it in a reply message. 3. See that…
"
      Images are oversaturated when displayed in the app
    ",All images are displayed slightly more saturated in Telegram Desktop than in all other apps throughout the system (at least in Chrome and default MacOS apps that I've checked). And it is pretty much noticeable…
"
      Titlebar font is ridiculously large in Big Sur
    ",Telegram Desktop window titlebar is inconsistent with other applications using the default Big Sur titlebar. The font is comically larger and looks weird. It would be nice to keep things aligned with…
"
      [CRITICAL] iPad 3rd Gen rendered unusable by Telegram 7.9
    ","Telegram 7.9 is completely broken for the iPad 3rd Gen on iOS 9.3.5. 7.8 was fully functional minus video conversion functions, but 7.9 refuses to launch. THIS IS A CRITICAL BUG. Steps to reproduce 1.…"
"
      Telegram on my iPhone 5 has just been updated. Now Telegram on iPhone 5 does not open, now I can use Telegram only from my laptop.
    ","Telegram on my iPhone 5 has just been updated. Now Telegram on iPhone 5 does not open, now I can use Telegram only from my laptop. Steps to reproduce I can't log into Telegram on iPhone 5 after the last…"
"
      Screen Share without audio
    ",Hi. i updated telegram today and i tested the Share Screen on voice chat. but only screen was shared ! without Sound. when i go to youtube or music player or video player. the audio dosent work for them.…
"
      iOS app v7.9 crashing when I try to open it
    ","The Telegram iOS app crashes when I try to open it since the last update (v7.9) - see the video. I tried deleting the app and reinstalling from the app store, but to no avail. Note I'm not sure why when…"
"
      Author sign name in Rounded videos is missing in channel posts
    ","If you enable in channel option named Sign messages, to see who of admins make a post and when you post rounded video then telegram for Android is missing this sign Steps to reproduce 1. Create a Channel…"
"
      Bot Buttons
    ","when the bot have more options than the screen can show , i have no access to the rest of the options Steps to reproduce any bot with more buttons than what can appear on the screen , other buttons are…"
"
      Screen sharing not working in 1-1 video calls
    ",Screensharing on 1-1 video call is not working. After enabling the screen sharing option other person couldn't see my screen. Steps to reproduce To reproduce: 1. Start any 1-1 video call 2. Change your…
"
      Changing colour the the title bar in telegram desktop
    ","Whenever I change profiles, or chats the colour of the title bar changes Steps to reproduce As soon as you open the app, you can see the changes, or even while switching between conversations / profiles…"
